SSC_CODE_2016,SSC_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,RATIO,PERCENTAGE
30615,Clagiraba,309,Gold Coast,1,100
30616,Clairview,312,Mackay - Isaac - Whitsunday,1,100
30617,Clara Creek,315,Queensland - Outback,1,100
30618,Claraville,315,Queensland - Outback,1,100
30619,Clare (Qld),318,Townsville,1,100
30620,Clarendon (Qld),310,Ipswich,1,100
30621,Clarke Creek,312,Mackay - Isaac - Whitsunday,1,100
30622,Clayfield,305,Brisbane Inner City,1,100
30623,Clear Island Waters,309,Gold Coast,1,100
30624,Clear Mountain,314,Moreton Bay - South,1,100
30625,Clemant,318,Townsville,1,100
30626,Clermont,312,Mackay - Isaac - Whitsunday,1,100
30627,Cleveland (Qld),301,Brisbane - East,1,100
30628,Clifford,307,Darling Downs - Maranoa,1,100
30629,Clifton (Qld),307,Darling Downs - Maranoa,1,100
30630,Clifton Beach (Qld),306,Cairns,1,100
30631,Clinton (Qld),308,Central Queensland,1,100
30632,Clintonvale,307,Darling Downs - Maranoa,1,100
30633,Cloncurry,315,Queensland - Outback,1,100
30634,Clontarf (Moreton Bay - Qld),313,Moreton Bay - North,1,100
30635,Clontarf (Toowoomba - Qld),307,Darling Downs - Maranoa,1,100
30636,Closeburn,314,Moreton Bay - South,1,100
30637,Cloyna,319,Wide Bay,1,100
30638,Cluden,318,Townsville,1,100
30639,Clumber,310,Ipswich,1,100
30640,Coal Creek,310,Ipswich,1,100
30641,Coalbank,307,Darling Downs - Maranoa,1,100
30642,Coalfalls,310,Ipswich,1,100
30643,Coalstoun Lakes,319,Wide Bay,1,100
30644,Cobbs Hill,319,Wide Bay,1,100
30645,Cobraball,308,Central Queensland,1,100
30646,Cockatoo (Qld),308,Central Queensland,1,100
30647,Coconuts,306,Cairns,1,100
30648,Coen,315,Queensland - Outback,1,100
30649,Coes Creek,316,Sunshine Coast,1,100
30650,Coles Creek,319,Wide Bay,1,100
30651,Colevale,318,Townsville,1,100
30652,Coleyville,310,Ipswich,1,100
30653,Colinton (Qld),313,Moreton Bay - North,1,100
30654,Collaroy (Qld),312,Mackay - Isaac - Whitsunday,1,100
30655,College View,310,Ipswich,1,100
30656,Collingwood Park (Qld),310,Ipswich,1,100
30657,Collinsville (Qld),312,Mackay - Isaac - Whitsunday,1,100
30658,Colosseum,308,Central Queensland,1,100
30659,Columbia,318,Townsville,1,100
30660,Columboola,307,Darling Downs - Maranoa,1,100
30661,Comet,308,Central Queensland,1,100
30662,Commissioners Flat,313,Moreton Bay - North,1,100
30663,Como (Qld),316,Sunshine Coast,1,100
30664,Comoon Loop,306,Cairns,1,100
30665,Cona Creek,308,Central Queensland,1,100
30666,Condamine,307,Darling Downs - Maranoa,1,100
30667,Condamine Farms,307,Darling Downs - Maranoa,1,100
30668,Condamine Plains,307,Darling Downs - Maranoa,1,100
30669,Condon,318,Townsville,1,100
30670,Conjuboy,315,Queensland - Outback,1,100
30671,Conondale,316,Sunshine Coast,1,100
30672,Consuelo,308,Central Queensland,1,100
30673,Conway,312,Mackay - Isaac - Whitsunday,1,100
30674,Conway Beach,312,Mackay - Isaac - Whitsunday,1,100
30675,Coochiemudlo Island,301,Brisbane - East,1,100
30676,Coochin,310,Ipswich,1,100
30677,Coochin Creek,316,Sunshine Coast,1,100
30678,Cooee Bay,308,Central Queensland,1,100
30679,Cooeeimbardi,310,Ipswich,1,100
30680,Cooktown,315,Queensland - Outback,1,100
30681,Coolabine,316,Sunshine Coast,1,100
30682,Coolabunia,319,Wide Bay,1,100
30683,Cooladdi,315,Queensland - Outback,1,100
30684,Coolana,310,Ipswich,1,100
30685,Coolangatta (Qld),309,Gold Coast,1,100
30686,Coolbie,318,Townsville,1,100
30687,Coolmunda,307,Darling Downs - Maranoa,1,100
30688,Cooloola,319,Wide Bay,1,100
30689,Cooloola Cove,319,Wide Bay,1,100
30690,Cooloolabin,316,Sunshine Coast,1,100
